"subjID","ingroup_randIntercept","outgroup_randIntercept","ingroup_randSlope","outgroup_randSlope","ingroup_norm","outgroup_norm","in_out_logit","younger","older","ismale","tsnr","fd_mean","RT","in_out_demean","in_out_young","in_out_old","ones"
"sub-126",7.25269504934058,7.72070040268693,-0.380965934410495,-0.39925367471566,1.69334950472988,2.03127852916649,-0.337929024436603,1,0,0.574,-0.881321934,-0.422387959,0.357,-0.47084852215868,-0.47084852215868,0,1
"sub-127",-12.4947350131422,-7.4545429384553,0.675889516986991,0.216888447738785,-7.61072596713823,-6.80679653240612,-0.803929434732106,0,1,-0.426,0.726955566,-0.586700833,0.802,-0.936848932454182,0,-0.936848932454182,1
"sub-128",-13.3353009022515,-9.55029402229344,0.277986038637138,-0.139010977838776,-9.62904261869347,-9.81349390511847,0.184451286424999,0,1,0.574,0.354984567,0.35040772,-1.27,0.0515317887029222,0,0.0515317887029222,1
"sub-129",-4.91828089342572,-2.68849618052819,0.69908492572731,-0.0105680046092164,-4.2946396858881,-4.83412029856384,0.539480612675742,0,1,0.574,-1.141721185,2.26385679,-1.26,0.406561114953666,0,0.406561114953666,1
"sub-130",7.81667118067756,7.44065732102171,-0.438401022765718,-0.377932137166879,2.24414473639584,1.77542467393401,0.468720062461831,0,1,-0.426,-1.262876457,1.236388009,1.18,0.335800564739755,0,0.335800564739755,1
"sub-132",7.73648175559337,7.6597745844922,-0.427066099577308,-0.390364944973675,2.15698271700222,1.96816349722304,0.188819219779174,0,1,-0.426,-0.107125145,-0.012961885,1.63,0.0558997220570973,0,0.0558997220570973,1
"sub-133",4.94960977927806,4.59683478356637,-0.121244596576934,-0.0564599699671902,-0.113957245526936,-0.378483319115173,0.264526073588237,0,1,0.574,1.055715262,0.050489502,0.906,0.131606575866161,0,0.131606575866161,1
"sub-134",2.45393221092896,3.37145777058881,0.55409134473318,0.109873222396035,-1.21688395982104,-1.04210871886913,-0.174775240951911,0,1,-0.426,-0.770087816,0.121069128,-1.25,-0.307694738673987,0,-0.307694738673987,1
"sub-135",-12.7243860271045,1.77874640223193,0.24230482506475,-1.30332052035551,-9.48693276791016,-10.0998275236517,0.612894755741541,0,1,0.574,-0.653236011,1.016904241,-1.25,0.479975258019465,0,0.479975258019465,1
"sub-136",-0.455686520739634,3.06396395460639,0.185196092767855,-0.405934122522327,-3.05807300534786,-1.72588380134446,-1.33218920400341,0,1,-0.426,0.220981734,-0.470718126,-1.24,-1.46510870172549,0,-1.46510870172549,1
"sub-137",-4.14308469406719,-9.64049034362821,0.053326719900839,0.736823969172748,-5.47538723308494,-6.23790649649208,0.762519263407138,0,1,0.574,-0.54577279,0.786471014,-0.791,0.629599765685062,0,0.629599765685062,1
"sub-138",3.92923554325831,2.78176336004068,-1.08659786700101,-0.629510484902712,-2.16060112623043,-2.38587227173858,0.225271145508154,0,1,0.574,-1.700501417,2.956665728,-0.168,0.0923516477860779,0,0.0923516477860779,1
"sub-140",2.59023133569345,4.0775253038171,-0.529162342741197,-1.11164564210188,-2.28189767833515,-2.11149493459589,-0.170402743739262,0,1,0.574,-0.738385115,0.945144959,-0.417,-0.303322241461339,0,-0.303322241461339,1
"sub-141",7.39081921055608,7.39424135524605,-0.385698605570584,-0.365929226244992,1.80996063659413,1.72234029849392,0.0876203381002065,0,1,-0.426,0.509990371,-0.031470684,-0.91,-0.0452991596218698,0,-0.0452991596218698,1
"sub-142",3.68308683907045,4.86739209140211,0.170156108729366,-0.0947619377361146,-0.795699452566416,-0.212961421751538,-0.582738030814878,0,1,-0.426,-0.159519738,0.411082901,1.53,-0.715657528536955,0,-0.715657528536955,1
"sub-143",3.39134363267307,1.48601890814399,-0.0304905642176242,0.173131469484233,-1.07634643875691,-2.04466199396596,0.968315555209048,0,1,-0.426,1.600072485,-0.251220667,-1.26,0.835396057486971,0,0.835396057486971,1
"sub-144",3.39134363267307,1.48601890814399,-0.0304905642176242,0.173131469484233,-1.07634643875691,-2.04466199396596,0.968315555209048,0,1,0.574,-2.070394775,1.857227144,-1.26,0.835396057486971,0,0.835396057486971,1
"sub-147",2.89912404473054,1.21365892628565,-0.747518864702162,0.253729743587237,-2.49434632919846,-2.10140945737489,-0.39293687182357,0,1,-0.426,-1.000297491,0.677173554,0.0118,-0.525856369545647,0,-0.525856369545647,1
"sub-149",2.88146457009183,1.37470024340896,0.385994400945273,0.451224941371272,-1.10676614561572,-1.82617483225803,0.719408686642312,0,1,0.574,-0.939580152,1.676162702,-1.25,0.586489188920236,0,0.586489188920236,1
"sub-150",3.41390975532222,-0.280034993913875,-0.678391470924188,0.209791903887319,-1.77888441619761,-2.95800578992109,1.17912137372348,1,0,-0.426,-0.537555218,-0.21095519,0.64,1.0462018760014,1.0462018760014,0,1
"sub-151",-6.57908851905315,-6.11839319277124,0.445514043057349,0.553507781199952,-5.61385549126372,-5.15439535839181,-0.459460132871909,0,1,-0.426,-1.120709642,1.001343862,-1.25,-0.592379630593985,0,-0.592379630593985,1
"sub-152",7.31491831412507,6.84395428163648,-0.403606745405271,-0.325169437757486,1.77475639027191,1.25105232856692,0.523704061704988,0,1,0.574,-1.252682339,1.56148429,-1.26,0.390784563982912,0,0.390784563982912,1
"sub-153",-2.24344389589833,-0.630504459508106,0.736549362577512,0.0443847410427684,-3.10087688948485,-3.45603482061782,0.35515793113297,1,0,0.574,0.007521336,-0.61313535,-1.24,0.222238433410894,0.222238433410894,0,1
"sub-154",-0.128144244492051,-11.2203381764818,-1.03711010571307,0.376107627394393,-8.72501925223145,-8.13593918975271,-0.589080062478743,0,1,-0.426,0.280333975,0.064014578,0.316,-0.72199956020082,0,-0.72199956020082,1
"sub-155",-11.3828481470087,-9.26450697625056,-0.00386516548862548,-0.256730938514202,-10.0947822550998,-10.4412514114349,0.346469156335154,1,0,0.574,0.898209256,-1.233512086,0.383,0.213549658613077,0.213549658613077,0,1
"sub-156",7.92912075618823,7.57580543496508,-0.43843383799557,-0.379073459694371,2.337877006241,1.88406237796795,0.453814628273057,1,0,-0.426,-1.213480721,0.657957535,1.02,0.320895130550981,0.320895130550981,0,1
"sub-157",-0.0568240724295657,0.381075489620967,0.0894018818487445,0.1209241549975,-2.99678959399228,-2.73207700906511,-0.264712584927172,1,0,0.574,-0.808294548,-0.32672095,0.195,-0.397632082649249,-0.397632082649249,0,1
"sub-158",-7.73899041492492,-8.09187881717414,0.253058253122442,0.216630233394144,-6.79797823101904,-7.15069438213328,0.352716151114238,1,0,0.574,-0.339626837,-0.648509396,1.02,0.219796653392162,0.219796653392162,0,1
"sub-159",0.186411708572743,-6.52846648485799,-0.955065314312334,-0.0557346155224868,-7.21824355255376,-7.39292727387989,0.174683721326129,1,0,-0.426,1.218499501,-1.182638625,-0.494,0.0417642236040531,0.0417642236040531,0,1
